Rho    Z    Tetta    Fi
1.30e+01    8.80e-01    7.40e+01    3.54e+02
5.00e+00    2.18e+00    7.50e+01    3.36e+02
2.30e+01    3.48e+00    7.40e+01    3.55e+02
8.00e+00    4.72e+00    7.30e+01    3.42e+02
5.00e+00    5.89e+00    7.00e+01    3.35e+02
3.70e+01    7.01e+00    7.10e+01    3.41e+02
6.00e+00    8.14e+00    7.00e+01    3.28e+02
4.00e+00    9.28e+00    7.20e+01    3.18e+02
1.60e+01    1.05e+01    7.40e+01    3.02e+02
3.20e+01    1.17e+01    7.20e+01    2.97e+02
1.00e+00    1.29e+01    7.40e+01    3.13e+02
4.00e+00    1.42e+01    7.50e+01    2.98e+02
6.00e+00    1.56e+01    7.60e+01    2.87e+02
4.00e+00    1.70e+01    7.70e+01    2.83e+02
6.00e+00    1.86e+01    7.90e+01    2.69e+02
2.00e+00    2.01e+01    7.70e+01    2.61e+02
2.90e+01    2.16e+01    7.80e+01    2.46e+02
5.00e+00    2.31e+01    7.70e+01    2.43e+02
7.00e+00    2.45e+01    7.60e+01    2.31e+02
1.00e+00    2.60e+01    7.90e+01    2.35e+02
3.00e+00    2.76e+01    7.60e+01    2.31e+02
8.00e+00    2.90e+01    7.80e+01    2.45e+02
3.00e+00    3.04e+01    7.50e+01    2.26e+02
2.80e+01    3.18e+01    7.70e+01    2.45e+02
1.56e+02    3.32e+01    7.60e+01    2.34e+02
3.00e+00    3.46e+01    7.40e+01    2.24e+02
2.00e+00    3.59e+01    7.70e+01    2.37e+02
2.50e+01    3.73e+01    7.40e+01    2.17e+02
7.00e+00    3.86e+01    7.60e+01    2.01e+02
4.20e+01    4.01e+01    7.80e+01    2.21e+02
2.00e+00    4.17e+01    7.90e+01    2.31e+02
4.00e+00    4.32e+01    7.60e+01    2.27e+02
8.00e+00    4.45e+01    7.50e+01    2.34e+02
5.00e+00    4.58e+01    7.20e+01    2.24e+02
7.00e+00    4.69e+01    7.00e+01    2.31e+02
3.90e+01    4.81e+01    7.10e+01    2.48e+02
5.10e+01    4.93e+01    7.40e+01    2.57e+02
1.20e+01    5.05e+01    7.30e+01    2.70e+02
3.10e+01    5.18e+01    7.50e+01    2.66e+02
5.00e+00    5.31e+01    7.40e+01    2.55e+02
3.00e+00    5.43e+01    7.10e+01    2.66e+02
3.70e+01    5.54e+01    7.00e+01    2.49e+02
1.80e+01    5.65e+01    7.10e+01    2.53e+02
1.00e+00    5.77e+01    7.30e+01    2.33e+02
1.20e+01    5.90e+01    7.50e+01    2.20e+02
4.00e+01    6.04e+01    7.80e+01    2.30e+02
2.60e+01    6.19e+01    7.70e+01    2.47e+02
9.00e+00    6.33e+01    7.40e+01    2.43e+02
5.50e+01    6.47e+01    7.70e+01    2.26e+02
4.00e+00    6.60e+01    7.40e+01    2.31e+02
2.70e+01    6.74e+01    7.70e+01    2.46e+02
1.00e+00    6.88e+01    7.60e+01    2.36e+02
5.00e+00    7.02e+01    7.80e+01    2.55e+02
1.00e+00    7.17e+01    7.50e+01    2.39e+02
4.00e+00    7.29e+01    7.20e+01    2.57e+02
1.10e+01    7.41e+01    7.10e+01    2.61e+02
4.00e+00    7.53e+01    7.40e+01    2.80e+02
7.00e+00    7.66e+01    7.50e+01    2.73e+02
9.00e+00    7.78e+01    7.20e+01    2.70e+02
1.50e+01    7.90e+01    7.10e+01    2.62e+02
4.80e+01    8.02e+01    7.20e+01    2.42e+02
3.00e+00    8.14e+01    7.30e+01    2.57e+02
1.30e+01    8.26e+01    7.50e+01    2.45e+02
7.70e+01    8.40e+01    7.60e+01    2.32e+02
5.00e+00    8.55e+01    7.80e+01    2.28e+02
1.70e+01    8.69e+01    7.60e+01    2.36e+02
4.50e+01    8.82e+01    7.30e+01    2.51e+02
7.40e+01    8.95e+01    7.40e+01    2.38e+02
3.40e+01    9.08e+01    7.70e+01    2.21e+02
2.00e+00    9.22e+01    7.60e+01    2.35e+02
2.50e+01    9.36e+01    7.50e+01    2.39e+02
7.60e+01    9.49e+01    7.40e+01    2.25e+02
1.20e+01    9.61e+01    7.20e+01    2.16e+02
5.00e+00    9.73e+01    7.10e+01    2.23e+02
2.00e+00    9.85e+01    7.40e+01    2.19e+02
