Rho    Z    Tetta    Fi
2.10e+01    8.20e-01    7.10e+01    1.94e+02
5.00e+00    1.93e+00    6.90e+01    1.79e+02
3.60e+01    3.02e+00    7.00e+01    1.87e+02
1.10e+01    4.14e+00    7.10e+01    1.77e+02
4.48e+02    5.27e+00    7.00e+01    1.74e+02
8.60e+01    6.33e+00    6.70e+01    1.81e+02
2.00e+00    7.32e+00    6.40e+01    1.75e+02
2.80e+01    8.32e+00    6.80e+01    1.68e+02
1.00e+01    9.41e+00    7.10e+01    1.72e+02
7.00e+00    1.05e+01    6.70e+01    1.58e+02
1.30e+01    1.15e+01    6.40e+01    1.46e+02
2.70e+01    1.25e+01    6.90e+01    1.57e+02
3.00e+00    1.36e+01    7.10e+01    1.73e+02
9.90e+01    1.47e+01    6.80e+01    1.78e+02
3.00e+00    1.57e+01    6.70e+01    1.87e+02
6.00e+00    1.68e+01    7.20e+01    1.73e+02
7.50e+01    1.79e+01    6.90e+01    1.88e+02
2.50e+01    1.90e+01    6.70e+01    1.89e+02
1.90e+01    2.00e+01    6.60e+01    1.71e+02
6.30e+01    2.10e+01    6.50e+01    1.53e+02
5.00e+00    2.19e+01    6.40e+01    1.39e+02
2.20e+01    2.29e+01    6.70e+01    1.44e+02
1.30e+01    2.40e+01    7.00e+01    1.33e+02
7.00e+00    2.51e+01    6.80e+01    1.32e+02
4.00e+00    2.61e+01    6.50e+01    1.14e+02
1.70e+01    2.71e+01    6.60e+01    1.12e+02
2.00e+00    2.81e+01    6.90e+01    1.29e+02
9.00e+00    2.91e+01    6.50e+01    1.37e+02
2.00e+00    3.02e+01    6.90e+01    1.33e+02
6.00e+00    3.12e+01    6.80e+01    1.25e+02
1.40e+01    3.22e+01    6.60e+01    1.27e+02
9.80e+01    3.33e+01    7.10e+01    1.36e+02
1.00e+00    3.44e+01    6.80e+01    1.39e+02
1.40e+01    3.55e+01    6.90e+01    1.27e+02
1.60e+02    3.65e+01    6.50e+01    1.23e+02
7.70e+01    3.75e+01    6.60e+01    1.12e+02
2.60e+01    3.85e+01    7.10e+01    9.60e+01
5.00e+00    3.96e+01    6.90e+01    1.09e+02
4.30e+01    4.07e+01    6.80e+01    1.11e+02
1.00e+01    4.17e+01    6.60e+01    1.05e+02
1.40e+01    4.27e+01    6.70e+01    1.01e+02
9.00e+00    4.38e+01    6.80e+01    1.10e+02
1.80e+01    4.48e+01    6.50e+01    1.28e+02
3.70e+01    4.58e+01    6.60e+01    1.16e+02
5.30e+01    4.68e+01    7.00e+01    1.29e+02
5.00e+00    4.79e+01    6.80e+01    1.36e+02
7.40e+01    4.90e+01    7.10e+01    1.48e+02
2.80e+01    5.01e+01    6.80e+01    1.60e+02
1.90e+01    5.12e+01    7.10e+01    1.74e+02
3.20e+01    5.23e+01    6.80e+01    1.92e+02
8.00e+00    5.33e+01    6.60e+01    2.10e+02
1.10e+01    5.43e+01    7.00e+01    2.23e+02
1.19e+02    5.54e+01    6.60e+01    2.07e+02
3.00e+00    5.64e+01    6.70e+01    2.15e+02
1.00e+00    5.74e+01    6.50e+01    2.19e+02
6.00e+00    5.84e+01    6.40e+01    2.07e+02
2.00e+00    5.94e+01    6.80e+01    2.22e+02
7.10e+01    6.04e+01    6.60e+01    2.07e+02
5.00e+00    6.14e+01    6.40e+01    1.98e+02
3.00e+00    6.24e+01    6.90e+01    1.93e+02
4.00e+00    6.34e+01    6.70e+01    2.05e+02
7.70e+01    6.44e+01    6.40e+01    2.11e+02
1.10e+02    6.54e+01    6.90e+01    2.03e+02
1.30e+01    6.64e+01    6.40e+01    1.90e+02
6.00e+00    6.74e+01    6.50e+01    2.01e+02
2.00e+00    6.84e+01    6.60e+01    2.07e+02
1.00e+01    6.94e+01    7.10e+01    2.21e+02
1.30e+01    7.06e+01    7.20e+01    2.23e+02
4.00e+00    7.17e+01    6.90e+01    2.31e+02
7.00e+00    7.28e+01    7.20e+01    2.28e+02
1.30e+01    7.40e+01    7.10e+01    2.29e+02
7.90e+01    7.51e+01    7.00e+01    2.20e+02
1.00e+01    7.62e+01    6.90e+01    2.30e+02
3.00e+00    7.74e+01    7.20e+01    2.40e+02
2.00e+00    7.85e+01    6.80e+01    2.31e+02
3.60e+01    7.95e+01    6.70e+01    2.27e+02
6.00e+00    8.06e+01    7.20e+01    2.23e+02
1.00e+00    8.17e+01    6.70e+01    2.13e+02
1.10e+01    8.27e+01    6.50e+01    1.95e+02
3.30e+01    8.37e+01    6.70e+01    2.01e+02
7.00e+00    8.48e+01    7.00e+01    2.17e+02
1.59e+02    8.59e+01    7.20e+01    2.23e+02
3.60e+01    8.70e+01    6.80e+01    2.24e+02
8.00e+00    8.80e+01    6.70e+01    2.18e+02
1.00e+01    8.90e+01    6.60e+01    2.06e+02
1.00e+00    9.01e+01    6.80e+01    2.02e+02
8.00e+00    9.12e+01    7.20e+01    2.12e+02
1.00e+00    9.23e+01    6.80e+01    2.00e+02
4.00e+00    9.33e+01    6.70e+01    1.92e+02
1.00e+00    9.44e+01    7.10e+01    2.08e+02
8.10e+01    9.55e+01    6.60e+01    2.26e+02
1.00e+00    9.65e+01    6.70e+01    2.16e+02
1.50e+01    9.75e+01    6.90e+01    2.27e+02
8.00e+00    9.86e+01    6.60e+01    2.35e+02
1.20e+01    9.96e+01    6.50e+01    2.36e+02
