Rho    Z    Tetta    Fi
1.00e+00    1.04e+00    7.60e+01    2.69e+02
1.90e+01    3.43e+00    7.60e+01    3.56e+02
2.00e+00    6.07e+00    8.10e+01    2.86e+02
3.00e+00    8.68e+00    7.50e+01    3.55e+02
2.00e+00    1.09e+01    7.20e+01    3.05e+02
4.00e+00    1.32e+01    7.40e+01    2.56e+02
7.00e+00    1.53e+01    7.00e+01    2.02e+02
4.30e+01    1.76e+01    7.70e+01    2.48e+02
1.10e+01    2.09e+01    8.50e+01    1.74e+02
4.40e+01    2.41e+01    7.60e+01    1.10e+02
1.70e+01    2.71e+01    8.40e+01    1.90e+02
1.20e+01    3.09e+01    8.50e+01    1.08e+02
5.00e+00    3.42e+01    8.00e+01    1.81e+02
3.00e+00    3.73e+01    8.30e+01    1.00e+02
5.00e+00    4.09e+01    8.50e+01    1.82e+02
2.20e+01    4.44e+01    8.10e+01    1.00e+02
1.00e+00    4.98e+01    8.80e+01    4.30e+01
2.00e+01    5.76e+01    8.80e+01    1.03e+02
8.00e+00    6.28e+01    7.80e+01    1.87e+02
5.00e+00    6.60e+01    8.50e+01    2.60e+02
3.00e+00    6.92e+01    7.50e+01    3.48e+02
7.00e+00    7.14e+01    6.60e+01    2.95e+02
1.50e+01    7.34e+01    6.60e+01    2.11e+02
2.50e+01    7.54e+01    6.80e+01    2.96e+02
6.00e+00    7.77e+01    7.80e+01    2.07e+02
8.00e+00    8.07e+01    8.40e+01    2.94e+02
2.00e+00    8.43e+01    8.40e+01    2.32e+02
1.60e+01    8.73e+01    7.40e+01    1.43e+02
1.00e+00    8.94e+01    6.40e+01    7.10e+01
2.00e+00    9.15e+01    7.40e+01    2.10e+01
5.00e+00    9.36e+01    6.40e+01    9.30e+01
2.00e+00    9.55e+01    6.10e+01    1.50e+01
3.90e+01    9.76e+01    7.10e+01    1.02e+02
