Rho    Z    Tetta    Fi
3.60e+01    1.02e+00    7.80e+01    1.80e+01
1.00e+01    2.48e+00    7.60e+01    3.30e+01
3.40e+01    3.94e+00    7.80e+01    5.20e+01
4.00e+00    5.40e+00    7.60e+01    4.70e+01
1.10e+01    6.76e+00    7.50e+01    6.70e+01
5.00e+00    8.15e+00    7.70e+01    8.10e+01
3.80e+01    9.57e+00    7.60e+01    9.30e+01
5.00e+00    1.10e+01    7.70e+01    1.01e+02
3.00e+00    1.24e+01    7.60e+01    9.70e+01
2.00e+00    1.39e+01    7.90e+01    9.30e+01
4.00e+00    1.55e+01    7.70e+01    1.01e+02
3.40e+01    1.69e+01    7.60e+01    9.50e+01
4.00e+00    1.82e+01    7.50e+01    1.03e+02
1.00e+00    1.96e+01    7.70e+01    9.60e+01
1.30e+01    2.12e+01    8.00e+01    7.70e+01
5.00e+00    2.29e+01    7.90e+01    9.10e+01
8.00e+00    2.44e+01    7.60e+01    1.01e+02
2.50e+01    2.59e+01    7.80e+01    1.18e+02
5.00e+00    2.74e+01    7.70e+01    1.24e+02
3.00e+00    2.88e+01    7.60e+01    1.28e+02
4.00e+00    3.03e+01    7.90e+01    1.21e+02
6.50e+01    3.21e+01    8.10e+01    1.25e+02
9.00e+00    3.43e+01    8.40e+01    1.37e+02
2.00e+00    3.68e+01    8.30e+01    1.43e+02
3.40e+01    3.90e+01    8.20e+01    1.31e+02
1.49e+02    4.09e+01    8.00e+01    1.17e+02
3.00e+01    4.28e+01    8.20e+01    1.22e+02
7.00e+00    4.47e+01    8.00e+01    1.10e+02
1.40e+01    4.64e+01    7.90e+01    1.00e+02
2.00e+00    4.82e+01    8.20e+01    8.10e+01
4.10e+01    5.02e+01    8.10e+01    9.40e+01
1.80e+01    5.23e+01    8.30e+01    8.00e+01
5.00e+00    5.44e+01    8.00e+01    8.90e+01
1.10e+01    5.60e+01    7.70e+01    9.20e+01
4.00e+00    5.75e+01    7.80e+01    1.09e+02
1.00e+00    5.89e+01    7.50e+01    1.15e+02
2.00e+00    6.03e+01    7.70e+01    1.10e+02
5.00e+00    6.17e+01    7.60e+01    1.16e+02
1.00e+00    6.31e+01    7.70e+01    9.90e+01
4.00e+00    6.46e+01    7.80e+01    8.40e+01
2.50e+01    6.62e+01    7.90e+01    7.50e+01
1.80e+01    6.80e+01    8.10e+01    6.50e+01
2.00e+00    7.02e+01    8.40e+01    4.50e+01
3.00e+01    7.27e+01    8.30e+01    6.20e+01
1.00e+00    7.47e+01    8.00e+01    7.30e+01
4.00e+00    7.65e+01    8.10e+01    7.00e+01
2.60e+01    7.83e+01    8.00e+01    8.50e+01
1.50e+01    7.99e+01    7.70e+01    9.90e+01
6.10e+01    8.13e+01    7.60e+01    8.30e+01
1.50e+01    8.29e+01    7.90e+01    7.30e+01
1.10e+01    8.44e+01    7.70e+01    6.80e+01
5.00e+00    8.60e+01    8.00e+01    8.00e+01
7.00e+00    8.76e+01    7.70e+01    6.60e+01
4.90e+01    8.91e+01    7.80e+01    7.90e+01
8.00e+00    9.08e+01    8.10e+01    8.60e+01
1.20e+01    9.31e+01    8.40e+01    7.70e+01
2.00e+00    9.55e+01    8.30e+01    6.00e+01
8.00e+00    9.75e+01    8.00e+01    5.20e+01
5.00e+00    9.92e+01    7.80e+01    5.70e+01
