Rho    Z    Tetta    Fi
2.78e+02    9.80e-01    7.70e+01    8.00e+00
2.00e+00    2.37e+00    7.50e+01    1.90e+01
1.55e+02    3.80e+00    7.80e+01    3.10e+01
4.00e+00    5.23e+00    7.50e+01    1.70e+01
1.30e+01    6.53e+00    7.40e+01    2.20e+01
6.00e+00    7.89e+00    7.70e+01    3.00e+00
2.00e+00    9.31e+00    7.60e+01    1.60e+01
2.10e+01    1.07e+01    7.70e+01    2.10e+01
2.80e+01    1.22e+01    7.80e+01    2.90e+01
5.00e+00    1.37e+01    7.70e+01    4.50e+01
1.60e+01    1.52e+01    7.60e+01    3.20e+01
1.00e+00    1.67e+01    7.90e+01    1.20e+01
3.00e+00    1.82e+01    7.70e+01    2.20e+01
6.10e+01    1.96e+01    7.40e+01    3.00e+01
3.00e+00    2.08e+01    7.10e+01    3.40e+01
2.40e+01    2.19e+01    7.00e+01    2.80e+01
2.00e+00    2.31e+01    7.30e+01    1.30e+01
1.40e+01    2.44e+01    7.60e+01    1.00e+00
4.00e+00    2.57e+01    7.30e+01    2.10e+01
1.50e+01    2.70e+01    7.60e+01    8.00e+00
1.00e+01    2.83e+01    7.50e+01    1.60e+01
1.30e+01    2.96e+01    7.40e+01    3.60e+01
2.00e+00    3.10e+01    7.70e+01    2.00e+01
9.20e+01    3.23e+01    7.40e+01    3.30e+01
2.00e+00    3.37e+01    7.60e+01    1.70e+01
1.00e+00    3.52e+01    7.90e+01    2.50e+01
3.90e+01    3.67e+01    7.70e+01    2.10e+01
3.00e+00    3.82e+01    7.80e+01    3.50e+01
1.90e+01    3.97e+01    7.60e+01    2.90e+01
1.00e+00    4.11e+01    7.70e+01    3.30e+01
1.33e+02    4.26e+01    7.90e+01    4.90e+01
1.00e+00    4.42e+01    7.80e+01    5.90e+01
2.00e+00    4.57e+01    7.60e+01    7.40e+01
3.00e+00    4.70e+01    7.40e+01    8.00e+01
1.90e+01    4.84e+01    7.70e+01    8.60e+01
7.00e+00    4.99e+01    7.90e+01    6.60e+01
5.00e+00    5.15e+01    7.70e+01    8.60e+01
2.00e+00    5.29e+01    7.50e+01    1.02e+02
5.00e+00    5.41e+01    7.30e+01    9.20e+01
1.80e+01    5.54e+01    7.50e+01    9.80e+01
6.00e+01    5.68e+01    7.60e+01    1.06e+02
2.50e+01    5.83e+01    7.90e+01    9.80e+01
1.10e+01    5.99e+01    7.80e+01    1.10e+02
3.00e+00    6.13e+01    7.60e+01    1.03e+02
2.00e+00    6.28e+01    7.80e+01    9.90e+01
3.00e+00    6.42e+01    7.50e+01    1.04e+02
4.00e+00    6.56e+01    7.70e+01    1.12e+02
7.00e+00    6.72e+01    7.90e+01    1.16e+02
2.00e+00    6.87e+01    7.70e+01    1.24e+02
1.00e+01    7.01e+01    7.40e+01    1.06e+02
7.00e+00    7.13e+01    7.10e+01    1.21e+02
9.00e+00    7.24e+01    7.00e+01    1.06e+02
3.00e+00    7.36e+01    7.30e+01    1.00e+02
1.00e+00    7.48e+01    7.40e+01    8.40e+01
2.97e+02    7.62e+01    7.70e+01    6.40e+01
2.00e+00    7.77e+01    7.90e+01    4.60e+01
1.40e+01    7.93e+01    7.80e+01    3.30e+01
8.00e+00    8.08e+01    7.60e+01    1.40e+01
1.20e+01    8.21e+01    7.50e+01    2.30e+01
2.50e+01    8.35e+01    7.70e+01    3.80e+01
1.30e+01    8.50e+01    7.90e+01    4.80e+01
2.20e+01    8.66e+01    7.80e+01    3.10e+01
7.00e+00    8.81e+01    7.70e+01    4.30e+01
4.00e+00    8.96e+01    7.60e+01    3.50e+01
6.00e+00    9.11e+01    7.90e+01    2.70e+01
2.90e+01    9.26e+01    7.60e+01    1.00e+01
7.00e+00    9.41e+01    7.90e+01    2.80e+01
4.00e+00    9.56e+01    7.70e+01    1.50e+01
6.00e+01    9.70e+01    7.40e+01    0.00e+00
5.00e+00    9.84e+01    7.70e+01    1.00e+01
